regija,id,ime_oglasa,vrsta_nepremicnine,tip_nepremicnine,zemljisce,velikost,cena,agencija
dolenjska,6366667,MILIČI,Hiša,Samostojna,,103.0,63000.0,STANART d.o.o.
dolenjska,6367917,NOVO MESTO,Poslovni prostor,Gostinski lokal,,107.4,190000.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska,6371197,"NOVO MESTO, BUČNA VAS",Hiša,Samostojna,,119.55,263533.0,"Oridom nepremičnine, Ivan Orešnik s.p."
dolenjska,6367270,"TREBNJE, ŠTEFAN PRI TREBNJEM",Stanovanje,dvoinpolsobno,,78.6,157000.0,"Ažur Trading, d.o.o."
dolenjska,6292502,VELIKI GABER,Hiša,Samostojna,,240.0,295000.0,Soseska Gaber d.o.o.
dolenjska,6292463,VELIKI GABER,Hiša,Samostojna,,240.0,285000.0,Soseska Gaber d.o.o.
dolenjska,6342774,ADLEŠIČI,Hiša,Samostojna,,366.33,340000.0,Zasebna ponudba
dolenjska,6191444,BANJA LOKA,Stanovanje,trisobno,,105.2,62000.0,Last in posest d.o.o.
dolenjska,6167564,BANJA LOKA,Posest,Zazidljiva,,4531.0,99000.0,"PBO nepremičnine, Most inženiring d.o.o."
dolenjska,6319801,BANJA LOKA,Posest,Za investicijo,,5000.0,25.0,Zasebna ponudba
dolenjska,6211954,BEDENJ,Vikend,Zidan,,24.0,28500.0,"RE/MAX Ljubljana, Nepremičninska družba d.o.o. "
dolenjska,6104154,BEDENJ,Posest,Kmetija,,100.0,90000.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska,6345209,BELA CERKEV,Hiša,Samostojna,,51.0,160000.0,Leran d.o.o.
dolenjska,6188600,"BELA CERKEV, ŠMARJEŠKE TOPLICE",Posest,Kmetijsko zemljišče,,3841.0,3800.0,Nepis d.o.o.
dolenjska,6309086,BELI GRIČ,Posest,Zazidljiva,,1301.0,15900.0,NeSta d.o.o.
dolenjska,6069049,"BEREČA VAS, SUHOR",Hiša,Samostojna,,75.0,70000.0,Zasebna ponudba
dolenjska,6201999,"BEREČA VAS, SUHOR",Hiša,Samostojna,,76.4,70000.0,"Nepremičnine in svetovanje Juršič, Blaž Juršič s.p."
dolenjska,6369553,"BIČ, 5 KM OD AC",Posest,Zazidljiva,,1503.0,35000.0,Zasebna ponudba
dolenjska,6039194,BIRČNA VAS,Posest,Zazidljiva,,827.0,24.0,Zasebna ponudba
dolenjska,6323026,"BIRČNA VAS, LJUBEN",Vikend,Bivalen,,40.9,23500.0,ECOMM Nives Kočevar s.p.
dolenjska,6027766,"BIRČNA VAS, PRI NOVEM MESTU",Vikend,Bivalen,,65.0,37000.0,Leran d.o.o.
dolenjska,5825530,"BIRČNA VAS, V NASELJU",Posest,Zazidljiva,,2600.0,45000.0,Zasebna ponudba
dolenjska,6351864,BISTRICA PRI MOKRONOGU,Posest,Zazidljiva,,1433.0,43000.0,"Nepremičnine Prijatelj, svetovanje in nepremičninsko posredovanje d.o.o."
dolenjska,6351868,BISTRICA PRI MOKRONOGU,Posest,Kmetijsko zemljišče,,6011.0,9500.0,"Nepremičnine Prijatelj, svetovanje in nepremičninsko posredovanje d.o.o."
dolenjska,6318212,BIŠKA VAS,Hiša,Samostojna,,60.0,63000.0,Kapitelj nepremičnine d.o.o.
dolenjska,6308698,BOJANJA VAS,Hiša,Samostojna,,216.9,69000.0,"RE/MAX Ljubljana, Nepremičninska družba d.o.o. "
dolenjska,6355770,"BOLDRAŽ, METLIKA",Vikend,Zidan,,60.0,73000.0,Zasebna ponudba
dolenjska,6357337,BOROVEC PRI KOČEVSKI REKI,Posest,Zazidljiva,,762.0,10800.0,Zasebna ponudba
